city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Rocha,-54.33,-34.48,286.87,94,100,2.9,UY,1586763976
Kupang,123.58,-10.17,304.15,74,40,5.1,ID,1586763699
Keti Bandar,67.45,24.14,304.29,40,65,7.69,PK,1586763977
Khatanga,102.5,71.97,268.0,96,100,3.77,RU,1586763681
Laguna,-121.42,38.42,287.04,81,1,4.6,US,1586763922
Mon,95.1,26.75,305.38,22,2,1.46,IN,1586763979
Gravdal,13.5,68.12,275.05,82,92,15.75,NO,1586763980
Muscat,58.59,23.61,301.15,83,95,4.1,OM,1586763975
Torbay,-52.73,47.67,272.04,79,5,5.1,CA,1586763981
Xiongyue,122.12,40.18,288.33,32,0,3.26,CN,1586763982
Lorengau,147.27,-2.02,300.74,82,79,4.01,PG,1586763983
Brora,-3.85,58.01,278.15,55,84,4.6,GB,1586763983
Kahului,-156.47,20.89,295.15,88,75,4.6,US,1586763788
Pittsburg,-121.88,38.03,286.15,76,1,6.7,US,1586763985
Makkah al Mukarramah,39.83,21.43,304.5,12,2,4.58,SA,1586763985
Mayo,-76.51,38.89,288.71,87,90,9.8,US,1586763768
Zatoka,30.47,46.07,286.15,58,0,10.0,UA,1586763987
Jalu,21.55,29.03,299.22,16,23,2.51,LY,1586763701
Lipin Bor,37.98,60.26,276.6,84,100,5.91,RU,1586763989
Katsuura,140.3,35.13,284.15,87,75,8.7,JP,1586763990
Touros,-35.46,-5.2,297.15,94,20,2.1,BR,1586763990
Port Lincoln,135.87,-34.73,291.86,58,77,1.88,AU,1586763991
Pamanukan,107.81,-6.28,303.13,69,25,3.65,ID,1586763992
Batagay-Alyta,130.41,67.8,267.98,83,15,4.81,RU,1586763993
Poum,164.02,-20.23,299.47,78,81,3.77,NC,1586763714
Hermon,-68.91,44.81,280.15,80,75,2.6,US,1586763746
Hithadhoo,73.08,-0.6,302.62,69,74,4.13,MV,1586763994
San Andrés,-81.7,12.58,301.15,78,75,4.1,CO,1586763995
