city_name,latitude,temperature,humidity,cloudiness,wind_speed
Portree,57.41,277.9,71,22,4.47
Sirūr,18.83,301.9,19,13,4.34
Novy Urengoy,66.08,269.85,98,100,2.6
Warsaw,52.23,284.9,40,16,2.6
Puerto Rico,-26.8,296.86,33,0,0.48
Adrar,20.5,302.66,15,91,5.45
Mount Isa,-20.73,290.15,45,19,1.5
Necochea,-38.55,288.89,97,100,0.89
Constitución,-35.33,288.21,53,14,6.38
Leh,34.17,275.19,17,0,0.68
Barra de Tecoanapa,16.52,304.18,52,11,5.4
Buraidah,26.33,295.15,37,40,8.7
Yandyki,45.77,279.01,62,14,6.64
Tilichiki,60.47,259.53,89,1,3.14
Mackay,-21.15,296.06,94,40,3.1
Nome,64.5,274.15,86,90,6.2
Wau,7.7,299.86,51,100,1.68
Serpa,37.95,288.15,87,20,2.1
Mumford,5.26,300.76,85,37,3.94
Huaidian,33.43,279.44,58,0,2.31
Laas,46.62,283.37,41,20,1.0
Nanortalik,60.14,274.11,90,85,9.47
Sterling,39.01,293.88,43,75,3.6
Shakhtinsk,49.71,280.15,100,90,2.0
Yangi Marg`ilon,40.43,289.15,77,90,2.1
Changde,29.05,283.74,66,1,2.98
Alice Springs,-23.7,288.15,51,2,1.5
Wote,-1.78,292.67,70,98,1.38
Severnyy,50.68,277.15,35,0,3.0
Pacifica,37.61,290.48,72,90,2.6
Alyangula,-13.85,295.15,100,69,1.77
Sept-Îles,50.2,276.86,51,75,6.7
Bucerías,20.75,299.71,42,40,5.7
Lerwick,60.15,276.15,55,91,9.3
Mahajanga,-15.72,300.15,69,20,3.6
Moïssala,8.34,303.48,34,96,2.5
Verāval,20.9,300.17,48,0,6.87
Jiangyou,31.77,288.08,63,100,0.83
Puerto Escondido,15.85,302.15,79,40,4.1
Hervey Bay,-25.3,293.59,82,4,3.6
Ca Mau,9.18,299.43,83,99,2.63
Naliya,23.27,299.49,61,0,6.28
Portland,45.52,290.74,21,20,5.1
Nyurba,63.28,273.36,91,99,3.33
Isiro,2.77,293.14,80,100,0.41
Bilma,18.69,301.58,14,0,4.03
Antofagasta,-23.65,292.15,72,90,5.1
Tauranga,-37.69,290.43,84,39,8.94
Renqiu,38.7,281.22,48,0,2.13
San Juan,-31.54,296.68,32,99,7.6
Bengkulu,-3.8,298.51,81,99,1.44
Lázaro Cárdenas,17.96,302.43,58,55,3.95
Mabaruma,8.2,301.15,62,100,3.61
Kharp,66.8,265.97,90,100,2.32
Lethem,3.38,307.25,36,92,5.84
Muzhi,65.37,267.57,97,100,4.51
Saint-Pierre,-21.34,293.46,83,100,2.6
Manokwari,-0.87,299.45,73,97,3.02
Tres Arroyos,-38.37,287.59,85,100,1.81
Nacozari,25.34,301.56,33,0,1.34
Bedelē,8.46,289.07,56,100,1.42
Aksu,41.12,288.62,19,2,1.6
