city_name,latitude,temperature,humidity,cloudiness,wind_speed
Changji,44.02,286.15,37,30,3.0
Hailar,49.2,278.15,42,36,2.77
Hudson Bay,52.85,266.74,85,100,4.99
Camocim,-2.9,299.59,85,100,2.97
San Cristobal,7.77,306.15,52,20,5.1
Kilindoni,-7.91,299.32,84,100,5.1
Maraã,-1.83,301.5,82,71,0.49
Butembo,0.15,287.71,67,100,0.56
Palmares do Sul,-30.26,292.26,76,79,4.12
Hay River,60.82,265.15,61,75,4.1
Ginda,30.69,286.96,20,0,2.62
Baghdad,33.34,291.15,55,20,2.59
Boa Esperança,-21.09,293.94,65,96,1.84
Linhares,-19.39,296.12,83,80,4.42
Ramos Arizpe,25.55,301.32,39,5,5.1
Aranos,-24.13,297.22,19,19,1.97
Santa Isabel,-23.32,292.96,72,20,3.6
Porto-Novo,6.5,302.15,79,40,6.2
Sungai Padi,6.09,301.04,83,20,1.0
Fort Nelson,58.81,277.15,29,20,1.0
Datong,40.09,278.92,32,23,1.21
Broome,42.25,288.57,29,90,5.1
Eirunepé,-6.66,295.98,90,100,1.36
Villamontes,-21.25,302.0,33,0,2.57
Boende,-0.22,295.04,88,100,0.31
Impfondo,1.64,295.24,85,100,0.83
Codajás,-3.84,300.82,90,77,1.59
Agirish,61.92,274.36,89,100,2.12
Kununurra,-15.77,297.15,94,66,0.61
Bairiki Village,1.33,303.15,79,75,7.2
Ledyard Center,41.44,285.41,71,90,3.6
Wilmington,34.23,294.79,60,1,4.6
Bolobo,-2.17,297.05,83,100,0.9
Portobelo,9.55,300.78,79,40,3.6
Alta Floresta,-9.88,303.15,70,40,1.5
North Bend,43.41,288.74,62,1,8.7
Orange,33.7,287.83,72,90,3.6
